len, freq, err, condition, pred
3, 0.001, 0, duration<=184.5 & month_sep>0.5 & poutcome_success>0.5, 1
3, 0.002, 0, duration>184.5 & month_jun>0.5 & poutcome_success>0.5, 1
1, 0.659, 0.139447937617776, duration>129.5, 0.167506297229219
3, 0.001, 0, marital_divorced>0.5 & contact_unknown<=0.5 & month_jun>0.5, 1
2, 0.05, 0.0162998687463753, duration<=145.5 & month_jun>0.5, 0.0165745856353591
3, 0.004, 0.0710059171597633, duration>145.5 & pdays>61 & month_jun>0.5, 0.923076923076923
1, 0.595, 0.0842995536269537, marital_married>0.5, 0.0929368029739777
1, 0.973, 0.0911343459452479, duration<=953.5, 0.101420454545455
1, 0.027, 0.231662326388889, duration>953.5, 0.635416666666667
1, 0.686, 0.0463920800096046, duration<=265, 0.0487706569931479
1, 0.314, 0.193200721923577, duration>265, 0.261674008810573
1, 0.032, 0.223171819262782, poutcome_success>0.5, 0.663793103448276
1, 0.584, 0.038225556478965, duration<=212.5, 0.0398104265402844
3, 0, 0, duration<=212.5 & previous>2.5 & month_mar>0.5, 1
3, 0.001, 0, duration>212.5 & pdays<=87.5 & month_mar>0.5, 1
1, 0.291, 0.100973206386312, day<=9.5, 0.113960113960114
1, 0.399, 0.117951931455964, balance>665, 0.136615811373093
3, 0, 0, balance>2669.5 & duration>212.5 & month_mar>0.5, 1
3, 0, 0, duration>79.5 & duration<=83.5 & month_mar>0.5, 1
1, 0.946, 0.100579323552546, balance<=5243.5, 0.113450292397661
1, 0.054, 0.12963348604748, balance>5243.5, 0.153061224489796
2, 0.463, 0.0261742973830347, duration<=405.5 & housing_yes>0.5, 0.0268977884040646
3, 0, 0, age<=29.5 & housing_yes>0.5 & month_sep>0.5, 1
1, 0.884, 0.0960493482936274, age>29.5, 0.107634543178974
3, 0, 0, day>8.5 & job_blue_collar>0.5 & month_sep>0.5, 0
3, 0.001, 0, age>60.5 & balance<=1578 & housing_no<=0.5, 1
1, 0.116, 0.145147392290249, age<=29.5, 0.176190476190476
2, 0.101, 0.0318802077043835, day>27.5 & duration<=287.5, 0.032967032967033
